FirstPurchaseDate,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12-01 08:26:00,100.0,,100.0,,,,,,,,,,
2010-12-01 08:34:00,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,
2010-12-01 08:45:00,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-12-01 09:00:00,100.0,,,,100.0,,,,,100.0,,,
2010-12-01 09:09:00,100.0,100.0,,,,,,,,,,,
2010-12-01 09:32:00,100.0,100.0,,100.0,100.0,,100.0,,,100.0,,100.0,
2010-12-01 09:37:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0
2010-12-01 09:41:00,100.0,66.66666666666666,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,66.66666666666666
2010-12-01 09:45:00,100.0,,100.0,,100.0,,100.0,100.0,100.0,100.0,,,
2010-12-01 09:53:00,100.0,,,,,,,,,,,,
2010-12-01 09:56:00,100.0,,,,,,100.0,,,,100.0,,
2010-12-01 09:57:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
2010-12-01 09:59:00,100.0,,,100.0,,,,,,,,,
2010-12-01 10:03:00,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,100.0,100.0,
2010-12-01 10:19:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-12-01 10:24:00,100.0,,,,100.0,100.0,,,,,,,
2010-12-01 10:29:00,100.0,,,,,,,100.0,,,,,100.0
2010-12-01 10:37:00,100.0,,,,,,,,,,,,
2010-12-01 10:39:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-12-01 10:47:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-12-01 10:51:00,100.0,,100.0,,,,,,,,100.0,100.0,100.0
2010-12-01 10:52:00,100.0,,,,,100.0,,,,100.0,,100.0,
2010-12-01 11:21:00,100.0,,,,,100.0,,,100.0,,,,100.0
2010-12-01 11:22:00,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
