CustomerID,Total_Spending,Segment
12346.0,0.0,Low Spend
12347.0,4310.0,High Spend
12348.0,1797.24,High Spend
12349.0,1757.55,High Spend
12350.0,334.4,High Spend
12352.0,1545.41,High Spend
12353.0,89.0,Medium Spend
12354.0,1079.4,High Spend
12355.0,459.4,High Spend
12356.0,2811.43,High Spend
12357.0,6207.67,High Spend
12358.0,1168.06,High Spend
12359.0,6182.9800000000005,High Spend
12360.0,2662.06,High Spend
12361.0,189.9,Medium Spend
12362.0,5154.58,High Spend
12363.0,552.0,High Spend
12364.0,1313.1,High Spend
12365.0,320.69,High Spend
12367.0,168.9,Medium Spend
12370.0,3541.94,High Spend
12371.0,1887.96,High Spend
12372.0,1298.04,High Spend
12373.0,364.6,High Spend
12374.0,742.9300000000001,High Spend
12375.0,455.42,High Spend
12377.0,1628.12,High Spend
12378.0,4008.62,High Spend
12379.0,850.29,High Spend
12380.0,2720.56,High Spend
12381.0,1803.96,High Spend
12383.0,1839.31,High Spend
12384.0,566.16,High Spend
12386.0,401.9,High Spend
12388.0,2780.66,High Spend
12390.0,549.84,High Spend
12391.0,439.66,High Spend
12393.0,1582.6000000000001,High Spend
12394.0,1272.48,High Spend
12395.0,2998.28,High Spend
12397.0,2409.9,High Spend
12398.0,1635.6599999999999,High Spend
12399.0,1108.65,High Spend
12401.0,84.3,Medium Spend
12402.0,225.6,High Spend
12403.0,409.7,High Spend
12405.0,1710.39,High Spend
12406.0,3280.75,High Spend
12407.0,1708.1200000000001,High Spend
12408.0,2842.57,High Spend
12409.0,11056.93,High Spend
12410.0,681.0799999999999,High Spend
12412.0,1226.88,High Spend
12413.0,694.15,High Spend
12414.0,562.41,High Spend
12415.0,123725.45,High Spend
12417.0,3578.8,High Spend
12418.0,668.58,High Spend
12420.0,600.39,High Spend
12421.0,806.27,High Spend
12422.0,803.5600000000001,High Spend
12423.0,1849.11,High Spend
12424.0,1760.96,High Spend
12425.0,777.2,High Spend
12426.0,582.73,High Spend
12427.0,708.37,High Spend
12428.0,7877.2,High Spend
12429.0,3750.4,High Spend
12430.0,256.4,High Spend
12431.0,6348.89,High Spend
12432.0,5059.32,High Spend
12433.0,13375.87,High Spend
12434.0,765.19,High Spend
12435.0,7829.89,High Spend
12436.0,509.01,High Spend
12437.0,4896.66,High Spend
12438.0,2906.85,High Spend
12441.0,173.55,Medium Spend
12442.0,172.06,Medium Spend
12444.0,5005.46,High Spend
12445.0,133.4,Medium Spend
12446.0,1002.3100000000001,High Spend
12447.0,476.49,High Spend
12448.0,449.45,High Spend
12449.0,4067.29,High Spend
12450.0,197.88,Medium Spend
12451.0,8933.52,High Spend
12452.0,428.57,High Spend
12453.0,707.09,High Spend
12454.0,5.684341886080802e-14,Low Spend
12455.0,2466.86,High Spend
12456.0,3153.89,High Spend
12457.0,1917.78,High Spend
12458.0,947.4,High Spend
12461.0,826.88,High Spend
12462.0,1124.01,High Spend
12463.0,1303.63,High Spend
12464.0,1212.05,High Spend
12465.0,733.89,High Spend
12468.0,724.0400000000001,High Spend
12471.0,18705.52,High Spend
12472.0,6229.48,High Spend
12473.0,2837.73,High Spend
12474.0,7064.7699999999995,High Spend
12475.0,723.38,High Spend
12476.0,6546.58,High Spend
12477.0,13117.01,High Spend
12478.0,680.99,High Spend
12479.0,477.3,High Spend
12480.0,3281.63,High Spend
12481.0,5574.36,High Spend
12483.0,2327.13,High Spend
12484.0,4480.87,High Spend
12488.0,1298.66,High Spend
12489.0,334.93,High Spend
12490.0,5417.93,High Spend
12491.0,460.40000000000003,High Spend
12492.0,263.21000000000004,High Spend
12493.0,416.79,High Spend
12494.0,1139.3500000000001,High Spend
12497.0,1043.1,High Spend
12498.0,403.70000000000005,High Spend
12500.0,4206.27,High Spend
12501.0,2089.68,High Spend
12502.0,3723.87,High Spend
12503.0,-1126.0,Low Spend
12504.0,114.0,Medium Spend
12505.0,-4.5,Low Spend
12506.0,73.5,Medium Spend
12507.0,1258.06,High Spend
12508.0,397.88,High Spend
12509.0,176.5,Medium Spend
12510.0,982.5699999999999,High Spend
12512.0,132.18,Medium Spend
12513.0,586.79,High Spend
12514.0,1017.68,High Spend
12515.0,383.7,High Spend
12516.0,1312.06,High Spend
12517.0,2443.65,High Spend
12518.0,2056.89,High Spend
12519.0,330.84,High Spend
12520.0,2582.51,High Spend
12521.0,599.68,High Spend
12522.0,192.72,Medium Spend
12523.0,1745.57,High Spend
12524.0,4485.72,High Spend
12526.0,1316.66,High Spend
12527.0,348.71000000000004,High Spend
12528.0,1922.28,High Spend
12530.0,1623.63,High Spend
12531.0,125.22,Medium Spend
12532.0,349.83000000000004,High Spend
12534.0,1089.18,High Spend
12535.0,716.35,High Spend
12536.0,4106.82,High Spend
12538.0,363.95,High Spend
12539.0,3852.5,High Spend
12540.0,13309.039999999999,High Spend
12541.0,981.18,High Spend
12544.0,355.7,High Spend
12545.0,1000.39,High Spend
12546.0,1141.5,High Spend
12547.0,207.79999999999998,High Spend
12548.0,95.19999999999999,Medium Spend
12550.0,964.83,High Spend
12551.0,168.0,Medium Spend
12552.0,437.82,High Spend
12553.0,3652.25,High Spend
12556.0,599.56,High Spend
12557.0,11990.960000000001,High Spend
12558.0,1.0658141036401503e-14,Low Spend
12559.0,536.21,High Spend
12560.0,2101.39,High Spend
12561.0,238.85,High Spend
12562.0,3781.7400000000002,High Spend
12564.0,456.9,High Spend
12565.0,131.17,Medium Spend
12566.0,346.7,High Spend
12567.0,9114.94,High Spend
12569.0,4064.9900000000002,High Spend
12571.0,519.61,High Spend
12572.0,1004.72,High Spend
12573.0,160.54000000000002,Medium Spend
12574.0,218.45,High Spend
12576.0,1306.98,High Spend
12577.0,564.2,High Spend
12578.0,2753.36,High Spend
12579.0,410.72,High Spend
12580.0,415.7,High Spend
12581.0,197.71,Medium Spend
12582.0,511.36,High Spend
12583.0,7187.34,High Spend
12584.0,1893.95,High Spend
12585.0,1982.81,High Spend
12586.0,179.94000000000003,Medium Spend
12587.0,144.0,Medium Spend
12588.0,214.89999999999998,High Spend
12589.0,646.68,High Spend
12590.0,9861.38,High Spend
12591.0,452.84999999999997,High Spend
12592.0,437.6,High Spend
12593.0,418.09999999999997,High Spend
12594.0,3320.2200000000003,High Spend
12596.0,618.27,High Spend
12597.0,3683.13,High Spend
12598.0,3002.68,High Spend
12599.0,1032.58,High Spend
12600.0,2581.04,High Spend
12601.0,569.5600000000001,High Spend
12602.0,153.12,Medium Spend
12603.0,739.1999999999999,High Spend
12604.0,254.18,High Spend
12605.0,-7.5,Low Spend
12607.0,3.552713678800501e-15,Low Spend
12609.0,1126.85,High Spend
12610.0,2057.99,High Spend
12611.0,1193.32,High Spend
12612.0,643.59,High Spend
12613.0,3218.98,High Spend
12614.0,315.6,High Spend
12615.0,2291.19,High Spend
12616.0,657.25,High Spend
12617.0,352.98,High Spend
12618.0,177.31,Medium Spend
12619.0,3214.81,High Spend
12620.0,1339.41,High Spend
12621.0,13612.07,High Spend
12622.0,180.1,Medium Spend
12623.0,305.1,High Spend
12624.0,641.13,High Spend
12625.0,2614.32,High Spend
12626.0,6388.35,High Spend
12627.0,4478.53,High Spend
12628.0,769.61,High Spend
12630.0,1270.88,High Spend
12631.0,640.5,High Spend
12633.0,2140.63,High Spend
12635.0,1689.18,High Spend
12637.0,5934.25,High Spend
12638.0,671.69,High Spend
12639.0,486.1,High Spend
12640.0,1174.58,High Spend
12641.0,185.9,Medium Spend
12642.0,1013.26,High Spend
12643.0,3344.64,High Spend
12644.0,477.91,High Spend
12645.0,1755.38,High Spend
12646.0,1346.97,High Spend
12647.0,3669.92,High Spend
12648.0,318.05,High Spend
12649.0,603.71,High Spend
12650.0,314.44,High Spend
12651.0,114.0,Medium Spend
12652.0,914.53,High Spend
12653.0,2209.85,High Spend
12654.0,601.98,High Spend
12656.0,3982.72,High Spend
12657.0,1152.06,High Spend
12658.0,686.05,High Spend
12659.0,91.68,Medium Spend
12660.0,245.1,High Spend
12662.0,3817.08,High Spend
12664.0,4863.88,High Spend
12665.0,61.75,Medium Spend
12666.0,-227.44,Low Spend
12667.0,620.13,High Spend
12668.0,3743.18,High Spend
12669.0,1607.73,High Spend
12670.0,2986.15,High Spend
12672.0,225.89999999999998,High Spend
12673.0,610.52,High Spend
12674.0,1922.26,High Spend
12676.0,1331.39,High Spend
12678.0,17588.26,High Spend
